Date,BTC_Price_USD,Block_Reward_BTC,Fees_Per_Block_BTC,Total_BTC_Per_Block,Blocks_Per_Day,Daily_BTC_Reward,Daily_USD_Reward
2020-12-20,23477.29,6.25,0.1,6.35,144,914.4,21467638.48
2020-12-21,22803.08,6.25,0.1,6.35,144,914.4,20851138.21
2020-12-22,23783.03,6.25,0.1,6.35,144,914.4,21747201.99
2020-12-23,23241.35,6.25,0.1,6.35,144,914.4,21251886.51
2020-12-24,23735.95,6.25,0.1,6.35,144,914.4,21704151.97
2020-12-25,24664.79,6.25,0.1,6.35,144,914.4,22553484.9
2020-12-26,26437.04,6.25,0.1,6.35,144,914.4,24174026.73
2020-12-27,26272.29,6.25,0.1,6.35,144,914.4,24023386.48
2020-12-28,27084.81,6.25,0.1,6.35,144,914.4,24766348.98
2020-12-29,27362.44,6.25,0.1,6.35,144,914.4,25020212.85
2020-12-30,28840.95,6.25,0.1,6.35,144,914.4,26372167.54
2020-12-31,29001.72,6.25,0.1,6.35,144,914.4,26519173.41
2021-01-01,29374.15,6.25,0.1,6.35,144,914.4,26859724.9
2021-01-02,32127.27,6.25,0.1,6.35,144,914.4,29377173.47
2021-01-03,32782.02,6.25,0.1,6.35,144,914.4,29975882.23
2021-01-04,31971.91,6.25,0.1,6.35,144,914.4,29235118.22
2021-01-05,33992.43,6.25,0.1,6.35,144,914.4,31082677.71
2021-01-06,36824.36,6.25,0.1,6.35,144,914.4,33672197.78
2021-01-07,39371.04,6.25,0.1,6.35,144,914.4,36000881.69
